Recursor: PUnit.rec | is_sort_poly: true
Recursor: True.rec | is_sort_poly: true
Recursor: False.rec | is_sort_poly: true
Recursor: Empty.rec | is_sort_poly: true
Recursor: PEmpty.rec | is_sort_poly: true
Recursor: Eq.rec | is_sort_poly: true
Recursor: HEq.rec | is_sort_poly: true
Recursor: Prod.rec | is_sort_poly: true
Recursor: PProd.rec | is_sort_poly: true
Recursor: MProd.rec | is_sort_poly: true
Recursor: And.rec | is_sort_poly: true
Recursor: Or.rec | is_sort_poly: false
Recursor: Bool.rec | is_sort_poly: true
Recursor: Subtype.rec | is_sort_poly: true
Recursor: Inhabited.rec | is_sort_poly: true
Recursor: Nonempty.rec | is_sort_poly: false
Recursor: PLift.rec | is_sort_poly: true
Recursor: ULift.rec | is_sort_poly: true
Recursor: PULift.rec | is_sort_poly: true
Recursor: Decidable.rec | is_sort_poly: true
Recursor: BEq.rec | is_sort_poly: true
Recursor: Nat.rec | is_sort_poly: true
Recursor: OfNat.rec | is_sort_poly: true
Recursor: LE.rec | is_sort_poly: true
Recursor: LT.rec | is_sort_poly: true
Recursor: Max.rec | is_sort_poly: true
Recursor: Min.rec | is_sort_poly: true
Recursor: Trans.rec | is_sort_poly: true
Recursor: HAdd.rec | is_sort_poly: true
Recursor: HSub.rec | is_sort_poly: true
Recursor: HMul.rec | is_sort_poly: true
Recursor: HDiv.rec | is_sort_poly: true
Recursor: HMod.rec | is_sort_poly: true
Recursor: HPow.rec | is_sort_poly: true
Recursor: HSMul.rec | is_sort_poly: true
Recursor: HAppend.rec | is_sort_poly: true
Recursor: HOrElse.rec | is_sort_poly: true
Recursor: HAndThen.rec | is_sort_poly: true
Recursor: HAnd.rec | is_sort_poly: true
Recursor: HXor.rec | is_sort_poly: true
Recursor: HOr.rec | is_sort_poly: true
Recursor: HShiftLeft.rec | is_sort_poly: true
Recursor: HShiftRight.rec | is_sort_poly: true
Recursor: Zero.rec | is_sort_poly: true
